date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:20	166/166	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:19%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/time-ranges.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/time-ranges.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:21	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:20%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/dom.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/dom.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:22	157/157	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:21%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:23	162/162	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:22%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/browser.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/browser.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:24	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:23%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/url.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/url.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:25	140/140	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:24%20GMT	https://azure.microsoft.com/dest/ampDefs.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/ampDefs.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:26	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:25%20GMT	https://azure.microsoft.com/dest/video.js/src/js/tech/tech.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/tech/tech.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:27	159/159	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:26%20GMT	https://azure.microsoft.com/dest/video.js/src/js/tech/html5.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/tech/html5.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:28	158/158	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:27%20GMT	https://azure.microsoft.com/dest/video.js/src/js/component.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/component.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
19:46:29	157/157	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Sep%202021%2022:46:28%20GMT	https://azure.microsoft.com/dest/video.js/src/js/utils/fn.js	/home/gastonbarbaccia/websites/azure/azure.microsoft.com/dest/video.js/src/js/utils/fn.js	(from https://amp.azure.net/libs/amp/2.3.8/azuremediaplayer.min.js)
